name,date,market_cap,volume,open,close
Bitcoin,2019-09-01,"
$172,069,023,390
","
$15,364,904,439
","
$9,607.29
","
$9,729.27
"
Bitcoin,2019-08-31,"
$171,703,455,568
","
$16,388,578,394
","
$9,588.99
","
$9,607.29
"
Bitcoin,2019-08-30,"
$169,825,879,930
","
$20,461,661,030
","
$9,485.14
","
$9,588.99
"
Bitcoin,2019-08-29,"
$174,174,790,993
","
$22,948,105,442
","
$9,753.49
","
$9,485.14
"
Bitcoin,2019-08-28,"
$181,891,056,658
","
$20,937,236,587
","
$10,167.89
","
$9,753.49
"
Bitcoin,2019-08-27,"
$184,989,701,186
","
$23,392,461,463
","
$10,334.91
","
$10,167.89
"
Bitcoin,2019-08-26,"
$180,491,202,154
","
$17,899,166,778
","
$10,090.06
","
$10,334.91
"
Bitcoin,2019-08-25,"
$181,764,456,091
","
$21,187,546,608
","
$10,145.01
","
$10,090.06
"
Bitcoin,2019-08-24,"
$187,878,412,536
","
$18,313,019,853
","
$10,385.51
","
$10,145.01
"
Bitcoin,2019-08-23,"
$181,311,699,890
","
$20,144,228,964
","
$10,127.79
","
$10,385.51
"
Bitcoin,2019-08-22,"
$181,094,936,744
","
$22,757,336,326
","
$10,124.06
","
$10,127.79
"
Bitcoin,2019-08-21,"
$192,182,485,884
","
$19,460,170,323
","
$10,743.79
","
$10,124.06
"
Bitcoin,2019-08-20,"
$194,884,121,165
","
$22,097,997,942
","
$10,895.97
","
$10,743.79
"
Bitcoin,2019-08-19,"
$184,381,498,344
","
$19,708,814,223
","
$10,309.87
","
$10,895.97
"
Bitcoin,2019-08-18,"
$182,893,178,091
","
$20,998,246,407
","
$10,224.22
","
$10,309.87
"
Bitcoin,2019-08-17,"
$184,635,409,004
","
$28,168,163,141
","
$10,324.99
","
$10,224.22
"
Bitcoin,2019-08-16,"
$183,808,182,262
","
$31,003,755,662
","
$10,295.88
","
$10,324.99
"
Bitcoin,2019-08-15,"
$178,691,691,521
","
$26,620,934,498
","
$10,016.22
","
$10,295.88
"
Bitcoin,2019-08-14,"
$194,716,791,550
","
$22,886,684,528
","
$10,903.65
","
$10,016.22
"
Bitcoin,2019-08-13,"
$203,438,784,511
","
$19,933,740,546
","
$11,381.24
","
$10,903.65
"
Bitcoin,2019-08-12,"
$206,323,428,608
","
$23,042,219,585
","
$11,550.00
","
$11,381.24
"
Bitcoin,2019-08-11,"
$202,567,916,483
","
$24,949,094,387
","
$11,327.84
","
$11,550.00
"
Bitcoin,2019-08-10,"
$211,775,940,827
","
$26,240,065,035
","
$11,852.56
","
$11,327.84
"
Bitcoin,2019-08-09,"
$214,023,992,148
","
$26,678,574,728
","
$12,024.33
","
$11,852.56
"
Bitcoin,2019-08-08,"
$213,446,022,649
","
$30,083,670,252
","
$11,970.66
","
$12,024.33
"
Bitcoin,2019-08-07,"
$204,493,918,414
","
$31,588,470,768
","
$11,510.16
","
$11,970.66
"
Bitcoin,2019-08-06,"
$210,831,100,252
","
$30,944,497,414
","
$11,818.53
","
$11,510.16
"
Bitcoin,2019-08-05,"
$195,575,205,442
","
$23,160,251,365
","
$10,951.59
","
$11,818.53
"
Bitcoin,2019-08-04,"
$192,658,484,290
","
$22,296,222,953
","
$10,791.20
","
$10,951.59
"
Bitcoin,2019-08-03,"
$187,993,708,173
","
$24,128,945,575
","
$10,529.17
","
$10,791.20
"
Bitcoin,2019-08-02,"
$185,025,579,625
","
$23,668,036,460
","
$10,361.31
","
$10,529.17
"
Bitcoin,2019-08-01,"
$179,525,433,372
","
$22,957,330,876
","
$10,063.00
","
$10,361.31
"
Bitcoin,2019-07-31,"
$170,790,961,771
","
$20,138,691,741
","
$9,568.44
","
$10,063.00
"
Bitcoin,2019-07-30,"
$169,247,002,246
","
$18,424,113,910
","
$9,510.59
","
$9,568.44
"
Bitcoin,2019-07-29,"
$170,325,673,262
","
$18,649,152,593
","
$9,534.76
","
$9,510.59
"
Bitcoin,2019-07-28,"
$168,472,890,624
","
$21,257,664,351
","
$9,447.68
","
$9,534.76
"
Bitcoin,2019-07-27,"
$175,634,298,897
","
$19,942,172,081
","
$9,846.00
 ","
$9,447.68
"
Bitcoin,2019-07-26,"
$176,569,486,288
","
$21,622,492,404
","
$9,878.23
","
$9,846.00
"
Bitcoin,2019-07-25,"
$175,298,806,838
","
$33,861,034,799
","
$9,799.31
","
$9,878.23
"
Bitcoin,2019-07-24,"
$177,060,329,754
","
$22,986,552,398
","
$9,936.38
","
$9,799.31
"
Bitcoin,2019-07-23,"
$184,582,963,699
","
$21,903,683,695
","
$10,343.32
","
$9,936.38
"
Bitcoin,2019-07-22,"
$189,302,289,398
","
$22,814,710,058
","
$10,607.46
","
$10,343.32
"
