date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-06-02,53.42,54.63,52.11,53.25,53.25,984308.0,-0.004672897196261627,Oil,Yahoo Finance
2019-06-03,52.89,53.78,52.43,53.48,53.48,831625.0,0.004319248826291089,Oil,Yahoo Finance
2019-06-04,52.86,53.41,50.6,51.68,51.68,943186.0,-0.03365744203440535,Oil,Yahoo Finance
2019-06-05,51.66,53.3,51.17,52.59,52.59,790067.0,0.017608359133127083,Oil,Yahoo Finance
2019-06-06,53.1,54.32,52.62,53.99,53.99,828133.0,0.026621030614185193,Oil,Yahoo Finance
2019-06-07,53.1,54.32,52.62,53.99,53.99,828133.0,0.0,Oil,Yahoo Finance
2019-06-08,53.1,54.32,52.62,53.99,53.99,828133.0,0.0,Oil,Yahoo Finance
2019-06-09,54.24,54.84,53.05,53.26,53.26,687146.0,-0.013521022411557726,Oil,Yahoo Finance
2019-06-10,53.43,54.04,52.91,53.27,53.27,642940.0,0.00018775816748028973,Oil,Yahoo Finance
2019-06-11,53.04,53.05,50.72,51.14,51.14,786105.0,-0.039984982166322514,Oil,Yahoo Finance
2019-06-12,51.07,53.45,50.92,52.28,52.28,945024.0,0.02229174814235435,Oil,Yahoo Finance
2019-06-13,52.18,52.98,51.7,52.51,52.51,574229.0,0.004399387911247166,Oil,Yahoo Finance
2019-06-14,52.18,52.98,51.7,52.51,52.51,574229.0,0.0,Oil,Yahoo Finance
2019-06-15,52.18,52.98,51.7,52.51,52.51,574229.0,0.0,Oil,Yahoo Finance
2019-06-16,52.5,52.74,51.58,51.93,51.93,397868.0,-0.011045515139973316,Oil,Yahoo Finance
2019-06-17,51.95,54.31,51.5,53.9,53.9,181640.0,0.0379356826497208,Oil,Yahoo Finance
2019-06-18,54.09,54.42,53.28,53.76,53.76,122838.0,-0.0025974025974025983,Oil,Yahoo Finance
2019-06-19,54.12,57.02,54.11,56.65,56.65,854514.0,0.053757440476190466,Oil,Yahoo Finance
2019-06-20,57.26,57.98,56.66,57.43,57.43,676047.0,0.01376875551632839,Oil,Yahoo Finance
2019-06-21,57.26,57.98,56.66,57.43,57.43,676047.0,0.0,Oil,Yahoo Finance
2019-06-22,57.26,57.98,56.66,57.43,57.43,676047.0,0.0,Oil,Yahoo Finance
2019-06-23,57.72,58.22,56.75,57.9,57.9,597164.0,0.008183876022984427,Oil,Yahoo Finance
2019-06-24,57.74,58.84,57.2,57.83,57.83,673140.0,-0.0012089810017271718,Oil,Yahoo Finance
2019-06-25,58.84,59.93,58.65,59.38,59.38,686817.0,0.02680269756181919,Oil,Yahoo Finance
2019-06-26,59.27,59.73,58.61,59.43,59.43,531405.0,0.0008420343550017417,Oil,Yahoo Finance
2019-06-27,59.22,59.8,57.75,58.47,58.47,556101.0,-0.016153457849570896,Oil,Yahoo Finance
2019-06-28,59.22,59.8,57.75,58.47,58.47,556101.0,0.0,Oil,Yahoo Finance
2019-06-29,59.22,59.8,57.75,58.47,58.47,556101.0,0.0,Oil,Yahoo Finance
2019-06-30,59.27,60.28,58.34,59.09,59.09,674887.0,0.010603728407730495,Oil,Yahoo Finance
2019-07-01,59.14,59.43,56.09,56.25,56.25,878938.0,-0.04806227788119821,Oil,Yahoo Finance
2019-07-02,59.14,59.43,56.09,56.25,56.25,878938.0,0.0,Oil,Yahoo Finance
2019-07-03,56.49,57.48,56.04,57.34,57.34,600131.0,0.019377777777777938,Oil,Yahoo Finance
2019-07-04,57.38,57.82,56.29,57.51,57.51,698015.0,0.0029647715381930784,Oil,Yahoo Finance
2019-07-05,57.38,57.82,56.29,57.51,57.51,698015.0,0.0,Oil,Yahoo Finance
2019-07-06,57.38,57.82,56.29,57.51,57.51,698015.0,0.0,Oil,Yahoo Finance
2019-07-07,57.77,58.46,57.3,57.66,57.66,540861.0,0.002608242044861653,Oil,Yahoo Finance
2019-07-08,57.56,59.1,57.29,57.83,57.83,551872.0,0.002948317724592364,Oil,Yahoo Finance
2019-07-09,58.4,60.53,58.35,60.43,60.43,690656.0,0.04495936365208375,Oil,Yahoo Finance
