symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Dec 17, 2018",51.25,51.87,49.01,49.88,49.88,"211,257"
CL=F,"Dec 14, 2018",52.83,52.95,50.84,51.20,51.20,"526,839"
CL=F,"Dec 13, 2018",51.20,53.27,50.35,52.58,52.58,"733,627"
CL=F,"Dec 12, 2018",51.95,52.88,50.94,51.15,51.15,"730,810"
CL=F,"Dec 11, 2018",50.89,52.43,50.70,51.65,51.65,"665,262"
CL=F,"Dec 10, 2018",52.03,52.81,50.53,51.00,51.00,"733,225"
CL=F,"Dec 07, 2018",51.76,54.22,50.60,52.61,52.61,"987,717"
CL=F,"Dec 06, 2018",52.93,53.30,50.08,51.49,51.49,"987,266"
CL=F,"Dec 04, 2018",53.13,54.55,52.43,53.25,53.25,"738,130"
CL=F,"Dec 03, 2018",52.45,53.85,52.03,52.95,52.95,"758,010"
CL=F,"Nov 30, 2018",51.27,51.79,49.65,50.93,50.93,"796,714"
CL=F,"Nov 29, 2018",50.31,52.20,49.41,51.45,51.45,"812,721"
CL=F,"Nov 28, 2018",52.09,52.56,50.06,50.29,50.29,"831,688"
CL=F,"Nov 27, 2018",51.54,52.38,50.30,51.56,51.56,"764,010"
CL=F,"Nov 26, 2018",50.62,52.25,50.10,51.63,51.63,"663,108"
CL=F,"Nov 23, 2018",53.87,54.12,50.15,50.42,50.42,"1,014,667"
CL=F,"Nov 21, 2018",53.39,55.86,53.39,54.63,54.63,"734,277"
CL=F,"Nov 20, 2018",57.39,57.44,52.77,53.43,53.43,"983,120"
CL=F,"Nov 19, 2018",56.72,57.33,55.08,56.76,56.76,"699,684"
CL=F,"Nov 16, 2018",56.58,57.96,55.89,56.46,56.46,"159,001"
CL=F,"Nov 15, 2018",56.02,57.26,55.59,56.46,56.46,"256,499"
CL=F,"Nov 14, 2018",55.27,57.37,55.13,56.25,56.25,"844,696"
CL=F,"Nov 13, 2018",58.88,59.35,54.75,55.69,55.69,"1,095,643"
CL=F,"Nov 12, 2018",60.70,61.28,58.68,59.93,59.93,"806,219"
CL=F,"Nov 09, 2018",60.75,60.79,59.26,60.19,60.19,"821,729"
CL=F,"Nov 08, 2018",61.64,62.42,60.40,60.67,60.67,"764,546"
CL=F,"Nov 07, 2018",61.74,63.18,61.20,61.67,61.67,"866,628"
CL=F,"Nov 06, 2018",62.70,63.32,61.31,62.21,62.21,"761,240"
CL=F,"Nov 05, 2018",62.99,64.14,62.52,63.10,63.10,"609,129"
CL=F,"Nov 01, 2018",63.50,63.95,62.63,63.14,63.14,"708,906"
CL=F,"Oct 31, 2018",64.88,65.39,63.11,63.69,63.69,"790,286"
symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Oct 30, 2018",66.32,67.00,64.81,65.31,65.31,"666,487"
